usage_frequency,account_status,other_behavioral_data
0.45,Inactive,Low
0.68,Active,Medium
0.93,Active,High
0.27,Inactive,Low
0.76,Active,Low
0.51,Inactive,Medium
0.88,Inactive,High
0.32,Active,Low
0.59,Active,Low
0.72,Inactive,Low
0.81,Active,Low
0.49,Inactive,Low
0.64,Active,Medium
0.22,Inactive,High
0.96,Active,Low
0.55,Active,Medium
0.71,Inactive,Low
0.34,Inactive,Medium
0.88,Active,High
0.43,Active,Low
0.77,Inactive,Low
0.62,Active,Medium
0.58,Inactive,Medium
0.82,Active,High
0.39,Inactive,Low
0.91,Inactive,Low
0.55,Active,Low
0.25,Active,Low
0.76,Inactive,Low
0.54,Active,High
0.86,Inactive,Low
0.64,Active,Medium
0.71,Inactive,High
0.48,Inactive,Medium
0.12,Active,Low
0.83,Active,Low
0.56,Inactive,Low
0.67,Inactive,High
0.79,Active,Low
0.95,Inactive,High
0.21,Active,Medium
0.43,Inactive,Medium
0.71,Active,Low
0.88,Inactive,Low
0.56,Active,High
0.29,Inactive,High
0.75,Active,Medium
0.41,Inactive,Medium
0.67,Active,Low
0.52,Inactive,High
0.61,Active,Low
0.99,Inactive,Low
